iter	Passed	Remaining
0	0	64
1	1	58
2	1	54
3	2	52
4	2	50
5	3	49
6	3	48
7	4	47
8	4	46
9	5	45
10	5	45
11	6	44
12	6	43
13	7	43
14	7	42
15	8	42
16	8	41
17	9	41
18	9	40
19	10	40
20	10	39
21	11	39
22	11	38
23	12	38
24	12	37
25	12	36
26	13	36
27	13	35
28	14	35
29	14	34
30	15	33
31	15	33
32	16	32
33	16	32
34	17	31
35	17	30
36	17	30
37	18	29
38	18	29
39	19	29
40	19	28
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	31	19
62	31	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	36	15
70	36	14
71	37	14
72	37	14
73	38	13
74	39	13
75	39	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	10
81	43	9
82	43	9
83	44	8
84	45	7
85	45	7
86	46	6
87	46	6
88	47	5
89	48	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
